Chr	Length	aStart	aEnd	midPoint
chr1	249250621	1	249250621	123035435
chr2	243199373	249250622	492449994	343076793
chr3	198022430	492449995	690472424	584454849
chr4	191154276	690472425	881626700	741632542
chr5	180915260	881626701	1062541960	929532342
chr6	171115067	1062541961	1233657027	1122872127
chr7	159138663	1233657028	1392795690	1293211359
chr8	146364022	1392795691	1539159712	1438134578
chr9	141213431	1539159713	1680373143	1588027392
chr10	135534747	1680373144	1815907890	1721128079
chr11	135006516	1815907891	1950914406	1869052096
chr12	133851895	1950914407	2084766301	1987271101
chr13	115169878	2084766302	2199936179	2102266302
chr14	107349540	2199936180	2307285719	2217436180
chr15	102531392	2307285720	2409817111	2325785720
chr16	90354753	2409817112	2500171864	2446652913
chr17	81195210	2500171865	2581367074	2523934871
chr18	78077248	2581367075	2659444322	2598327973
chr19	59128983	2659444323	2718573305	2685626105
chr20	63025520	2718573306	2781598825	2746442875
chr21	48129895	2781598826	2829728720	2794386955
chr22	51304566	2829728721	2881033286	2844228721
chrX	155270560	2881033287	3036303846	2941165299
chrY	59373566	3036303847	3095677412	3065990630
